DEN_Z_URB,avg_CO_2_per_road,avg_NO_x_per_road,avg_PM_per_road,avg_VOC_per_road
Tiburtino Sud,130.39511008076462,0.047343791564199655,0.00043360650562724576,0.22536435956815337
La Rustica,254.12122495356533,0.07165682492854678,0.000711371624121583,0.44775261366570096
Acqua Vergine,331.1672043183362,0.09327116021178934,0.0009175029224731202,0.5759081054446683
Settecamini,179.15820738634633,0.05629236298583289,0.0007009440751791905,0.32958393059531144
Lunghezza,78.96567787762571,0.03034148255000781,0.00032738227138937053,0.15293194234175728
S. Vittorino,544.2902273046665,0.2131425663670593,0.0013397427105635287,0.8516169902816033
Centro Storico,10.468345830140978,0.009515147696201522,0.00025984376141972507,0.053468921421630955
Trieste,54.06872819160067,0.027028097279322066,0.0007642176518477168,0.133305161534097
S. Lorenzo,10.26352724605213,0.009194398557261235,0.00028358450189486375,0.051229964863681206
Nomentano,23.68852550685759,0.014873900270276566,0.00032701852099892585,0.08471145676360128
Casilino,9.577090914739946,0.00808516459658733,0.00020268870776427313,0.04720407577106756
Gordiani,9.350978964028206,0.007784276622802049,0.00022897366753360203,0.043318945303945706
XX Settembre,12.01362501381565,0.01007935197865358,0.00039910932381473737,0.052928137783438356
UniversitÃ ,8.087650715909174,0.006267525822689666,0.00019445453054388985,0.03204661285900305
Torre Maura,150.16728690903605,0.045076987359022935,0.0004851264647750593,0.2906487477362724
Osteria del Curato,109.24925158696715,0.04085144686388602,0.0007335954698864568,0.24396323527221284
Quarto Miglio,193.02446615810834,0.0616976908146357,0.0008763155233340969,0.3463596998271515
Ciampino,342.2755695581436,0.1780675393887365,0.001607439715271566,0.7122346503700199
Tuscolano Nord,10.843914956378796,0.009515247138487585,0.00020489725123864195,0.05586181337824139
Esquilino,10.25961169071799,0.009230826084862392,0.00027138064124885663,0.052192785558958905
Villa Borghese,20.17458816923079,0.012225053233600729,0.0006004395155904334,0.054995924344483846
Casal Bruciato,140.86152551636644,0.05249337446225147,0.0007732383574398524,0.3051944392659718
Aeropoprto dell' Urbe,249.15759681124504,0.09062069446165283,0.0011616397917461167,0.5275429873779744
Fidene,90.4211984043536,0.03887811243021504,0.0005731066628834793,0.19946033405200148
Settebagni,141.44582004095318,0.05642453922638491,0.0007676301800671826,0.2977721365010708
Grottarossa Ovest,169.26690721238145,0.052166889725778036,0.0008771485738023265,0.3270097404500269
Villa Ada,144.5370843019932,0.06105073268952959,0.001283979834882581,0.3187832697509941
Tor di Quinto,65.43068835301705,0.03243212785453739,0.0006100526642379107,0.1615234510436882
Casal Bertone,68.77036471386266,0.03105752603722028,0.0005168587040320949,0.1933808239350546
Romanina,126.06621489291553,0.05361848188870394,0.0009810061887477772,0.3085925924914009
Barcaccia,59.6866399197444,0.028375404375401075,0.00047114974044499603,0.13723484481857068
Pietralata,19.391300369006924,0.012097651755567991,0.00033414100395794545,0.06614859361952422
Grottarossa Est,174.93862245002617,0.07039774021970578,0.0010389278774819168,0.35329344219676034
Prima Porta,431.3140294584632,0.15144599134055256,0.0008437940500226071,0.6075249827642983
Tor S. Giovanni,475.4538171192757,0.18664475432192507,0.0019170147343141842,0.8030003614905403
Eur,45.75545092150903,0.026654200771195367,0.0006382646517115323,0.139158487165894
Tormarancia,19.676983314937626,0.01245903248592303,0.0002493841719243175,0.06392160368258214
Zona Archeologica,12.79716505319619,0.009191664093111835,0.0002360014776320184,0.04992935053457233
Tiburtino Nord,13.874604411887606,0.010626398334129985,0.00026111580046073954,0.06236810242871724
Centocelle,10.917348519625365,0.010988329926809324,0.0007497458635685721,0.053592081542811774
Alessandrina,12.09254607659767,0.00984375582277291,0.0002344864054373857,0.0583509149810131
Tor Tre Teste,15.068383246332735,0.011421335073684312,0.0002528238981138256,0.06866148931926096
Tor Sapienza,115.23655242866201,0.037071188524680956,0.00041748179053707236,0.2034926614450861
Omo,92.27190339614673,0.032889813209015586,0.0005195035834670703,0.20613238544661444
Casetta Mistica,234.96039010552357,0.06723583831336184,0.0008525033167909402,0.40747000353404234
Lucrezia Romana,213.83181697948808,0.07382351758173251,0.0008510252688480846,0.40693677883814316
Appia Antica Sud,476.03952038650203,0.1462438200733505,0.0013872584489533271,0.8593596145904391
Conca d'Oro,9.536872121982459,0.009261360023680856,0.00017398523304583218,0.05790314816048026
Val Melaina,10.411799134458015,0.009013014496076128,0.00016915725191612473,0.053866665824708546
Serpentara,123.30746241234402,0.051947368951440816,0.0004960355534397538,0.244200092344546
Casal Boccone,176.3664228849734,0.06162484997140347,0.0006083755644037707,0.3029569424282575
Giardinetti-Tor Vergata,156.19826693790588,0.06362568214546013,0.0009563981090980604,0.2889702811760709
Torre Angela,62.47320586483189,0.02481158755503769,0.0004382771758062844,0.13444066392733633
S. Basilio,113.74496242064491,0.03794032625147723,0.0004900200661279501,0.22864607624047872
Casal de' Pazzi,12.028762060079886,0.010158252105453435,0.00022536199094486763,0.061790792297909757
Bufalotta,438.0284184795466,0.13721049885080244,0.0017435102235463871,0.7535229211394173
Sacco Pastore,13.169886262714863,0.010406795618473552,0.00037625450841499654,0.053862283647807395
S. Cornelia,514.2881770238062,0.15307514005421827,0.0009028149968109685,0.8205505090471862
Giustiniana,252.68770938821217,0.053329631050203725,0.000514339242885172,0.4359612404650663
Farnesina,42.955731430099156,0.023207680752297805,0.00041129510622213634,0.13059733803169354
Verano,66.3121382056371,0.035424779626619794,0.001225105584783967,0.17721205798540884
Monte Sacro Alto,12.137072501893847,0.009822621972682154,0.0002555466916768884,0.05197814373605826
Tor Cervara,185.4498188055586,0.07378275249539949,0.0015882042272486044,0.41286444169429615
Gregna,77.3632712053756,0.037497424219377455,0.0007823806204889793,0.1880384449051152
Morena,33.45796769078482,0.02071408203053254,0.0004955312037514902,0.1086062542560124
Monte Sacro,9.33626003276218,0.007948974112567323,0.0002431300366107217,0.041819906476303
Quadraro,9.244800808529059,0.00797978477971305,0.0002695706165081294,0.04443567798309097
Appio-Claudio,12.57606227364805,0.010259873228016874,0.00032837566622469965,0.05660848828886154
S. Alessandro,170.41273719174404,0.08098082820855133,0.0013684186809940406,0.3537236855161559
Valco S. Paolo,9.652985802536344,0.007643507501768454,0.0002070497248141805,0.041564670450013115
Appia Antica Nord,196.68950031500486,0.06539349573084738,0.0007156085459177861,0.3759521961914672
Cecchignola,134.44341965218948,0.03678433747834204,0.00047305702567810817,0.2336971115959802
Vallerano Castel di Leva,217.58427433718282,0.06741521361477747,0.0007360113554291173,0.3817357549552473
Laurentino,188.3060532918152,0.05715918020124427,0.0008511525019682572,0.37041183864014465
Spinaceto,92.11671946086626,0.0447133808708376,0.0006831795165437118,0.20134550964004255
Decima,818.8102614447964,0.2638649788771328,0.0017821596215721771,1.3449440645088313
Castel Romano,274.31507663024325,0.09517114300017111,0.0014369003711680968,0.5268284150920018
Castel Porziano,343.5687771035092,0.1435397688554781,0.0016099040403610154,0.6939171522347222
Flaminio,14.947028853575617,0.012066744754157952,0.00035650807164509644,0.06732881492714966
Borghesiana,14.887263378700881,0.01091427868741448,0.0002530402151603399,0.05615118245435796
Tuscolano Sud,13.624396300838074,0.011936186516504127,0.00032098301442904623,0.06866555484053974
Tor Fiscale,33.62092503251099,0.01978953960106748,0.0007185040401592122,0.1001211111490592
Latino,12.731801411826096,0.011417667349110077,0.0003397859154105202,0.06263822781249553
Pignatelli,21.899148422618246,0.01616630371946069,0.0004986687242267806,0.0759640061426249
Torrino,94.1448169810807,0.03845286498770863,0.000669941858140128,0.20921112048060853
Don Bosco,11.54396506604202,0.01173630389682144,0.0002748516572463843,0.05740159180646666
Ostiense,11.12425684085432,0.008679823473289187,0.0002972489838752709,0.04078630043947652
Appio,13.165466290759914,0.010806153446460388,0.0003866726595323304,0.055360855991451935
Garbatella,10.358204218060639,0.00794317620039058,0.0002632965705291134,0.04451690280498223
Aventino,10.265285059717131,0.00849097346770758,0.000225330699900511,0.04974875514112089
Mezzocammino,211.86745944540948,0.07671009125515145,0.0009938633451698742,0.37621014240162365
Magliana,491.7842624199066,0.1300254715442186,0.001390380574425412,0.8483724585833626
Ponte Galeria,353.6653633937499,0.10127179017861403,0.0010114981532445774,0.606168927419337
Pantano di Grano,422.66102488850066,0.1327217851551788,0.0014921685546379862,0.7513190363669331
Trullo,104.16646807217462,0.04164576098134202,0.001010209732452477,0.21150796025074559
Torrespaccata,16.68059687379827,0.012508703600937263,0.000514698501443359,0.05459316692295227
Centro Direzionale Centocelle,14.98887797832489,0.010078125443655037,0.00043726863138376763,0.04777975366282044
Torpignattara,11.088695648764466,0.009453302827974908,0.00030170987491859064,0.050002873447636986
Pian Due Torri,23.000539515731912,0.0142468426476977,0.0003234996408564375,0.08375149063530526
Ostia Nord,17.473977434564922,0.013165892315791334,0.0002725682031083549,0.07706543924887657
Infernetto,16.021430539336766,0.010803875937438355,0.00028561712784476657,0.04871964851384987
Palocco,10.359550678542444,0.0074191646828111754,0.00016343290324605806,0.04258101497052976
Ostia Sud,14.931608775247305,0.012096824602800326,0.0003146568844863246,0.06814398439712435
Acilia Sud,36.43429050748111,0.020752009305004697,0.0004221967967941923,0.10682965488497241
Castel Fusano,41.393331518540016,0.023263606905496094,0.0005467167406543084,0.09622352612299997
Primavalle,21.663024412562788,0.01710934303816008,0.0005585406577415246,0.08714451338233759
Val Cannuta,44.853476327457535,0.02946616627544333,0.0007269395502927973,0.1565040543086016
Corviale,14.212666204078593,0.011056577905169368,0.00021162590926402427,0.06692728732335997
Pisana,373.30602449178696,0.11425231802674288,0.0017432506486941336,0.6854910293624529
Fogaccia,119.2837009021153,0.0388899446907468,0.000562078731742743,0.24142191213446443
S. Maria della PietÃ ,87.74681252565472,0.026395943581766876,0.00035229648064284566,0.18610548101889912
Ottavia,82.92548266206158,0.024105607006842757,0.00033989699628734176,0.18208404718938712
Labaro,86.90871908948866,0.033127358722642664,0.0005584739028873947,0.18192169576573133
Boccea,434.41823618623687,0.119488429581024,0.00173510312740702,0.7835185409838902
Casalotti di Boccea,61.008997233824495,0.024238022668778284,0.0004457287022912162,0.1625612585598371
Castelluccia,119.07925009518122,0.0353258333458135,0.0006300765060560423,0.23517051809298606
Massimina,65.33229770498761,0.02458759965436251,0.00031197292848072854,0.17472668309346773
Aurelio Nord,12.588283248813697,0.011023275669355619,0.00028699683794665437,0.06091193739672488
Aurelio Sud,14.929507761696975,0.011505736745940945,0.0003436897652556368,0.060455567784827774
Buon Pastore,25.9186400054973,0.020918182061798372,0.0005617732567087378,0.10986330589671246
Portuense,24.4782376182878,0.01641908774657057,0.0004851512708996945,0.08842856051927062
Colli Portuensi,13.878371422435494,0.01111467734823447,0.00027008882951287704,0.06351888568822661
Villa Pamphili,30.825639608360472,0.020089748435046722,0.0006192471076185369,0.10256202190205277
Trionfale,13.233992042799889,0.013744389546262054,0.0002514604790439679,0.06263845278905864
Prati,12.76082694421803,0.011552770734244454,0.000340568025375758,0.06395719485988248
Foro Italico,50.37954491954677,0.028914344717225107,0.0004884854079681937,0.16662486526584705
Gianicolense,10.090132822320886,0.00893965385971036,0.00022450284015750123,0.05184518662140688
Pineto,30.385867179234822,0.019957825923823596,0.0007903342445688753,0.10300670515066788
Medaglie d' Oro,15.17296961321815,0.014496364593595134,0.0003241368786663396,0.06610379758777349
Trastevere,10.558205566392742,0.009267197022126809,0.0003100273679836506,0.051013737557621286
La Storta,66.81924578642736,0.03328398585205079,0.0004191982512193355,0.14693736217404502
Cesano,150.33578644692898,0.06295777987102613,0.0007976385305196208,0.2516196664713789
Salario,11.589155569002465,0.013407707938651668,0.00033082199385055255,0.052630808803419395
Tomba di Nerone,21.567769419363213,0.014414108071473523,0.0002277144569336961,0.09247517187996171
Acquatraversa,30.76093655314885,0.026496366761229614,0.000596336297227392,0.15867249929263044
Ostia Antica,46.90633221995624,0.025167726234012505,0.0007135784800399883,0.12552247903510133
Della Vittoria,16.00899721752168,0.017692879230066304,0.0004285862678502233,0.0628969380270122
Tor di Valle,55.33355711146099,0.026699958684131584,0.000558026970791763,0.14438792099933448
Villaggio Olimpico,17.748648806529886,0.013066741026277133,0.0003396006554020698,0.06784688633499672
Tufello,9.134113423217682,0.012193325925008616,0.0013671048967420654,0.04769079070031683
Grottaperfetta,10.071989960140652,0.0073067317454156904,0.00014917955822069302,0.042649286188981304
S. Maria di Galeria,56.36553759823478,0.025206754415041846,0.0004744979817276649,0.12199515507995676
Marconi,15.79990045376446,0.01481875804956476,0.00033729430189221985,0.08617321241807709
Celio,7.081900512870354,0.006523757862241031,0.00011273129295841633,0.0407474864321419
Malafede,27.192343640337764,0.01508752774565481,0.00030904568267689346,0.07711934395324077
Parioli,14.02994398943272,0.012534082377349105,0.00026536768579405633,0.0744865937222897
Martignano,316.8764183322589,0.1677476997138001,0.002972461320932022,0.7580233285116265
Porta Medaglia,81.8239984953008,0.04937597332216993,0.0011589610421375192,0.18801487199749034
Acilia Nord,11.602047021957961,0.008373000686928703,0.00022340883452881338,0.04754122075891329
