DEN_Z_URB,avg_CO_2_per_road,avg_NO_x_per_road,avg_PM_per_road,avg_VOC_per_road
Tuscolano Sud,15.830940623147248,0.014134777632245717,0.00041795690681751174,0.07652329740644685
Tor Fiscale,35.61053033173084,0.02411653837381976,0.0009431045307702314,0.10227830994868824
Latino,15.157818788311236,0.013574363767520319,0.00047485171627110605,0.07003398109872674
Pignatelli,22.58887631784786,0.01673460165087211,0.0005126015763901458,0.07775404129202027
Torrino,118.77287142172813,0.04685115448784453,0.0008050249054884506,0.26110815522134906
Don Bosco,13.475061012165886,0.013157834977574332,0.0002897502570960773,0.06559393017599148
Ostiense,12.244958621883823,0.009834963517994157,0.0003081456024673575,0.048153387006515495
Appio,15.188668473277772,0.01261242338945309,0.00040886584352819235,0.06649731320078416
Garbatella,10.991002971658304,0.008415865888835508,0.0002582549324957342,0.04786858243654455
Aventino,11.91424656543084,0.00980600711476644,0.00026300714373078134,0.05727565990816607
Mezzocammino,268.91291035345404,0.0946637800268992,0.0012449689242203712,0.48098191992931977
Magliana,639.3212074369442,0.16548018954529162,0.0016739518000612437,1.0922330367334918
Ponte Galeria,460.4919374881152,0.12337412828187508,0.0011843305853585823,0.7750015275675951
Pantano di Grano,504.0952289093844,0.16797863133384455,0.0018627642640527268,0.9014937087364647
Trullo,134.82629655171996,0.05189379345804502,0.0012229064339392822,0.26415253979644476
Torrespaccata,17.311505910963557,0.012953567207614845,0.0005405306176704833,0.05614645096034673
Centro Direzionale Centocelle,15.613852037624879,0.010467672445509184,0.00043073037846443524,0.050565053574962694
Torpignattara,13.520600447667896,0.011088217451029657,0.0003865124792362881,0.05594486090653485
Pian Due Torri,29.014000516016406,0.01737825240244282,0.0004174824457087295,0.09929622400610881
Ostia Nord,21.910835379332887,0.016765691344582497,0.0003699720275977991,0.09737792239739183
Infernetto,20.887828301183124,0.013563981211907484,0.0003295037821909793,0.06573033025892004
Palocco,11.690790539979934,0.008248687132926548,0.00017825979192709107,0.04817002968698172
Ostia Sud,16.688526167770743,0.013382633271865597,0.00032754427895456445,0.07647917301055053
Acilia Sud,43.914181810854565,0.02452886806635559,0.0004882201612831169,0.12841873083795496
Castel Fusano,58.963090343416226,0.030082143062444482,0.0006711919601634987,0.13140660957332864
Primavalle,24.98485222736569,0.019738915186826488,0.000620081526206869,0.10097904335281103
Val Cannuta,55.32248911626093,0.035218415397927964,0.0008396410943704914,0.1882015891939964
Corviale,17.559308351988488,0.013607173440946748,0.00032515669299618464,0.07848794060269125
Pisana,487.6745926021436,0.14987540230215515,0.0021506766206364825,0.891811242200399
Fogaccia,148.9151558726267,0.04639290188874388,0.000664613398675126,0.2939537470955608
S. Maria della PietÃ ,108.70193014718237,0.034078255912331365,0.0005519271714240008,0.2367669345220479
Ottavia,99.55717053383223,0.02840908422361823,0.0004025768201798412,0.2162522958116456
Labaro,107.86551635762096,0.03899185511334183,0.0006427178328043519,0.22116912854468085
Boccea,548.6134372159593,0.17070112160446504,0.002299800240755743,0.9815795122752052
Casalotti di Boccea,70.05930219119651,0.028730135775476652,0.0004766169232190471,0.1918447990370916
Castelluccia,143.60788019352998,0.042470855610456916,0.0007318192500723296,0.2813010041942293
Massimina,78.54472655428654,0.03568137949902606,0.00045162014814688773,0.22277224574784768
Aurelio Nord,15.06760854247892,0.013075353316500633,0.000356193411292771,0.07059888235096623
Aurelio Sud,17.46366508869875,0.01358760793944274,0.00036557441269200196,0.07282516072783021
Buon Pastore,27.067065358830806,0.021715230777241648,0.0005695405046506583,0.11425101173960486
Portuense,26.059579419892447,0.017376240154471794,0.0005036918164679298,0.0935276103437571
Colli Portuensi,21.10949379702409,0.01818035120086279,0.0003191496481383492,0.1106046929528754
Villa Pamphili,37.12345980378714,0.02395921305320702,0.0006978795785496782,0.12124718447872014
Trionfale,15.579635077084486,0.01549828648939393,0.00028034747937336014,0.07471957756745094
Prati,16.73855753556678,0.014999964938930558,0.0004173993829289943,0.08367176342768576
Foro Italico,62.22867933324739,0.034819189890747976,0.000551120978262455,0.19867550321171568
Gianicolense,11.580159685142219,0.010358930219691644,0.00023706860337770742,0.061022775893431636
Pineto,34.46968385812483,0.02284320678546991,0.0008748239632231357,0.11857562488818842
Medaglie d' Oro,18.066823985605012,0.01637822903995513,0.000370880842133978,0.07651588841813103
Trastevere,13.527530197356198,0.011984883405573389,0.00036240669809810847,0.0665154742965643
La Storta,85.74419656021824,0.042515208467939034,0.0005378802407550582,0.19591614276609007
Cesano,173.70502391693876,0.07385225432688368,0.0008466521200283558,0.2932525260701448
Salario,13.195414558354688,0.014589868382313827,0.0003440265524009643,0.060511445574972254
Tomba di Nerone,25.571617599901735,0.01646255322834359,0.0002582836790707953,0.10696473144116986
Acquatraversa,34.38014500301618,0.029201752963649012,0.0006339013050681388,0.17516258497450438
Ostia Antica,52.06680560710968,0.027622523309259035,0.0007441193522046126,0.1399078870521008
Della Vittoria,18.796701900705077,0.019614855529071926,0.0004547936462159408,0.07499841050414367
Tor di Valle,75.25038587369703,0.034810926188253107,0.0007122518521048201,0.19435075042797093
Villaggio Olimpico,19.49220826071362,0.0143296672540262,0.0003503187847793658,0.07586869591005081
Celio,9.096891866224569,0.008416368582402356,0.00013546016009782148,0.05344713786503345
Tufello,10.870016830063415,0.013756375332366988,0.0013362042919492698,0.05825815366667103
Grottaperfetta,13.16906893636636,0.009297281241345172,0.00028589815296902,0.04812180680286258
S. Maria di Galeria,62.92768819523709,0.02835412025995964,0.000526596142590948,0.13832141063481426
