DEN_Z_URB,avg_CO_2_per_road,avg_NO_x_per_road,avg_PM_per_road,avg_VOC_per_road
Tiburtino Sud,187.8872589966139,0.08019993090654265,0.0006918010739067133,0.3057384913516986
La Rustica,370.130706341336,0.11065790833457466,0.0011383143453348433,0.6518325317650956
Acqua Vergine,461.1229304315991,0.13496160533664767,0.0013193187496348183,0.8028228319073024
Settecamini,263.8133050227089,0.0794838581940243,0.0009502245419178168,0.4755668128980674
Lunghezza,97.54646536987157,0.035386107884617386,0.00039369521232422467,0.18750041100121612
S. Vittorino,584.1069457362096,0.2275800754223463,0.0016983211028767855,0.9418899869133963
Centro Storico,22.646580121797673,0.019415812512695817,0.0006054618319814844,0.10215408762542308
Trieste,73.93957888368415,0.0357878567021612,0.0009930562792939063,0.1760120019984145
S. Lorenzo,14.90414059693749,0.013374429058938011,0.000373635672127933,0.07560272618524126
Nomentano,36.13499162055678,0.02215116812376138,0.0005231044699208646,0.11979507641477684
Casilino,18.050408183513802,0.01445421520038508,0.0007172488931303878,0.06723667623015725
Gordiani,11.60626662428954,0.010632136734236141,0.00028783829564485794,0.05193620464323335
XX Settembre,25.109363690247026,0.02007781364251108,0.0008135598556222209,0.09636611869543416
UniversitÃ ,11.273408676879328,0.008841736506047844,0.0002589152753975395,0.04765088123233119
Torre Maura,226.14223107673666,0.07082747615308681,0.0006274327175775088,0.4156853842628509
Osteria del Curato,159.96542760064798,0.05827241595848143,0.0009062408953964581,0.3424393314740285
Quarto Miglio,284.17179502251076,0.09687719601754834,0.001368836588391867,0.5055168419415162
Ciampino,436.1836284937397,0.2653666721401885,0.0022676326765029334,0.9199874337132402
Tuscolano Nord,13.823524278335544,0.012025496150407397,0.000251008699973086,0.06750419221740837
Esquilino,27.00603469304939,0.02252556262880364,0.0008401134525672508,0.10973835368793153
Villa Borghese,26.62685140521348,0.016197216268263058,0.0007094895982309804,0.07529490674528307
Casal Bruciato,198.37361289868213,0.08069010632225958,0.0011234567656137756,0.4098990755547208
Aeropoprto dell' Urbe,389.81352054380943,0.13100084429908804,0.001571789577826412,0.812586354161776
Fidene,136.10652115630606,0.054992540206455644,0.0007945365445760377,0.29523663353036983
Settebagni,205.58274265173193,0.07581878186117422,0.0009995751395051008,0.42514195505156915
Grottarossa Ovest,271.77147413512563,0.07127930918445917,0.0012371703460391714,0.504425842585025
Villa Ada,198.12958114004653,0.07990423728310495,0.0016760359661224735,0.4232722311911778
Tor di Quinto,96.16093404399645,0.04554511821647183,0.0008796648141849231,0.21963042278376735
Casal Bertone,99.33095217316519,0.04405552624873436,0.000692918542045347,0.2608061848092008
Romanina,170.82309493658443,0.07319942436677564,0.0012380956985687738,0.41609699144639967
Barcaccia,70.52432449133738,0.03429480523369666,0.0005850870529281826,0.16580886924995453
Pietralata,24.53513391074762,0.014852145429382369,0.00043604914232357554,0.07988668679315401
Grottarossa Est,245.03118976584378,0.09428469975481117,0.0013824768051041605,0.5053332725894368
Prima Porta,560.9090302011332,0.18537529212129109,0.0012050199577647502,0.8065108940237625
Tor S. Giovanni,685.1733074587756,0.24262453151696334,0.002803600373194948,1.1741748371097815
Eur,65.27776963294194,0.03756162331106039,0.000823869274718773,0.1970508214317433
Tormarancia,24.842711501753385,0.015188880132751803,0.00030918578955467486,0.07675605798153454
Zona Archeologica,24.86496050831483,0.017354344600070477,0.0006457063050136929,0.07960300283046053
Tiburtino Nord,17.327827515341248,0.012627149100209714,0.00033842422615126014,0.07154244425289337
Centocelle,12.853709574095731,0.012500960460986523,0.0007667483245085989,0.06159579208373501
Alessandrina,14.715177419083613,0.011959234373346402,0.00027313422133647483,0.07138778155996563
Tor Tre Teste,19.166547326409088,0.015004108543210777,0.00033392293632098836,0.09047842506148225
Tor Sapienza,156.93450828581567,0.05214653219857282,0.0006059937595246835,0.26742104531595323
Omo,139.49549944615606,0.04743845263092674,0.0006366905672123188,0.29721168982204693
Casetta Mistica,353.7522092340248,0.10964020000547947,0.0014947829423958355,0.5955943089980948
Lucrezia Romana,297.2793668406084,0.10257753957846062,0.0010983332143725275,0.5651783115883404
Appia Antica Sud,724.1973613272379,0.21291702386908015,0.00192765251202082,1.294783146062597
Conca d'Oro,14.63841381297965,0.013211903716519055,0.0003099212757823608,0.0788199759875166
Val Melaina,13.229770815472284,0.011078129986840808,0.00020081882122539174,0.06675100287972029
Serpentara,193.8333636519694,0.06994407764673614,0.0007312883261531976,0.36710589321405995
Casal Boccone,287.356837935458,0.08975155775658586,0.0008042567188218707,0.49028927565224223
Giardinetti-Tor Vergata,194.00091093825537,0.08586416954406716,0.0017002477354927258,0.3525768677055246
Torre Angela,86.90948065696602,0.037062585024965206,0.0006601693331234408,0.1851555455108518
S. Basilio,179.93944142788988,0.0589579195455304,0.000636816609803549,0.3496635351537279
Casal de' Pazzi,14.11416269841908,0.011513520541348327,0.0002617244250679762,0.06841169148708962
Bufalotta,656.5070506834746,0.19153436370949295,0.0024885618179600203,1.1158587997468135
Sacco Pastore,15.998326915209411,0.012667892866613597,0.000397011225190176,0.06845785727171937
S. Cornelia,778.4302998076158,0.1959967799725937,0.0012126955633319785,1.236816273578134
Giustiniana,437.5849767476812,0.08054569048248823,0.000962217708590484,0.7441543581094984
Farnesina,64.04688554210323,0.032326469401130944,0.0006262195441257736,0.17339394204345548
Verano,87.87786624024268,0.046955729666224695,0.0015831421526309732,0.23461539463865316
Monte Sacro Alto,14.731401505395912,0.011673179092830322,0.00029263738405809544,0.06209051609610105
Tor Cervara,286.90697231866193,0.12145218728737472,0.003014403306173807,0.612526864377342
Gregna,104.29391259634319,0.05018051337269911,0.0010250622850707224,0.2537133336988036
Morena,43.234483617279466,0.025992116550586464,0.00062084844046943,0.13281483923283333
Monte Sacro,11.969349642082587,0.010103930915422622,0.0003299110704630758,0.05250825862028385
Quadraro,10.031574487305702,0.008741934106937866,0.00026395808076963394,0.048918812177664146
Appio-Claudio,14.254242332687802,0.01158836020223346,0.0003444026612436813,0.06463307012144186
S. Alessandro,315.1703797801615,0.12899511701710428,0.0020914102152916024,0.6233945099669967
Valco S. Paolo,13.694256005490699,0.010300741867879843,0.00029012380720505376,0.0533211445906664
Appia Antica Nord,290.79307100990974,0.09498723559704211,0.001009195897277687,0.5387117919610368
Cecchignola,211.5704947395777,0.053863057817522104,0.000588642566812782,0.35709897317964695
Vallerano Castel di Leva,317.6364678796497,0.09282974127983679,0.0009975796613237115,0.5476145190132091
Laurentino,281.56598048627495,0.07902436918991998,0.0010711573761740653,0.5450902984481305
Spinaceto,129.36009969738092,0.05853115455339258,0.0008496308463325656,0.2835588973983413
Decima,1149.4103282581498,0.34491630701817916,0.002511508366520216,1.8838624802211852
Castel Romano,399.3101512526886,0.13683589789861397,0.0016912807545727724,0.7589284242241219
Castel Porziano,438.0878387362185,0.1725087511927611,0.0019304499105304482,0.8863859924211693
Flaminio,21.63084200250747,0.016660884096261007,0.0005744983061152002,0.08544377626853646
Borghesiana,19.195871374195765,0.013548820418128157,0.0003593727237964858,0.0668904544078077
Tuscolano Sud,16.972523901719235,0.015066715184845786,0.00043927142891597536,0.08013880972598574
Tor Fiscale,38.232964351940694,0.025632412023901197,0.0009585556004820613,0.11350159935543334
Latino,16.552965438323664,0.014627943234590414,0.0004832171302674245,0.07371209828488645
Pignatelli,24.671349944463415,0.01782581255632868,0.0005412814799390029,0.08188427692373047
Torrino,142.53485825721316,0.05428324539890039,0.0009763517256202742,0.3094642887965098
Don Bosco,14.269623295575979,0.013872460578808147,0.0002975827394864751,0.07002895250086862
Ostiense,14.313014667563968,0.011398170979874623,0.00037900399820700413,0.05515457904279982
Appio,17.269557332672427,0.014258797130877358,0.0004857477988919203,0.07362180483643822
