DEN_Z_URB,avg_CO_2_per_road,CO_2_alpha,avg_NO_x_per_road,NO_x_alpha,avg_PM_per_road,PM_alpha,avg_VOC_per_road,VOC_alpha
Grottarossa Ovest,283.911750579785,1.4110903717764067,0.09499490441580183,1.3277156575276465,0.0014572839038763518,1.2893447476393562,0.5267202835744423,1.450617554059053
Villa Ada,209.6127333370122,1.3489048302816469,0.0867305285363056,1.3140728472884255,0.0017700059896944933,1.286823559338171,0.43281917351932186,1.3814618954015363
Tor di Quinto,108.39261842737069,1.5994070485706986,0.05524296491799274,1.5806067358111855,0.001149998159238889,1.4426458974406908,0.24205245332611375,1.5343815361285813
Casal Bertone,110.39098250418313,1.5208419276092673,0.05040792516047571,1.5064719282194132,0.0009109882810583712,1.4915236718370308,0.27808274350818357,1.482178054030656
Romanina,175.69956753110569,1.57351505615443,0.07849483901057738,1.5125368077037775,0.0013192520395022402,1.4893728383303348,0.42552544693265215,1.5002292348483353
Barcaccia,70.72133929496157,1.5709136336837402,0.03465954828564344,1.3850967736567648,0.0006149550862770819,1.3254839525658153,0.16603274242114072,1.5150226901795183
Pietralata,28.126263430025585,1.3050194748977044,0.016965723089975532,1.2110414419137596,0.0005265097112498558,1.4155941623208004,0.08760460823576367,1.1421493647868755
Grottarossa Est,273.86056618574116,1.1827133069084739,0.13077603121365441,1.1934140609685393,0.0019373319458301994,1.228017457674627,0.5542413136093928,1.229249182679712
Prima Porta,560.502185361744,1.2541313424925238,0.20152612262540465,1.280932392027683,0.0014106872862382866,1.2033805516866045,0.8017882794852008,1.2853034911340424
Tor S. Giovanni,707.3528890806264,1.2674572334603504,0.26196015005474294,1.1128816568682396,0.0030768606038512726,1.2057360994731992,1.205154897650039,1.2297882688594228
Eur,84.47508570555003,1.4922096677016436,0.04951654701075406,1.5002673090914573,0.0011773459834669784,1.3879895421208825,0.2342492964261225,1.565703978091351
Tormarancia,36.34663433858073,1.5383967286234121,0.02106930234664521,1.3541587479913209,0.0006419851724252034,1.5901188865085287,0.09325928104110724,1.382719533529571
Zona Archeologica,50.84585504192731,1.287561249743105,0.03106889724864263,1.3069331115341443,0.0014696881449402011,1.4903866506974484,0.11335540143757906,1.2825524391049044
Trullo,236.56420237735128,1.6770020855638976,0.1129358901640848,1.7295032341868786,0.002307109585468091,1.549148252086782,0.43861713473242003,1.7759349617220397
Magliana,962.6602963740028,1.252753972845726,0.3451330332364185,1.2778043333387985,0.0026951607598058795,1.1861340874640143,1.5987534881163672,1.3135122669710955
Ponte Galeria,743.7627193391077,1.4587116060916179,0.32487132708303273,1.5002535586006172,0.0016605118958712259,1.3500377106568378,1.1816456960196635,1.5065814813470917
Pisana,726.3883414672438,1.2951725715667248,0.2754346187796565,1.2132695991187008,0.002929459254398474,1.104465267724164,1.292129138348997,1.2487932335725624
Fogaccia,355.82666931565063,1.5077560768022606,0.18891142382009124,1.5404378993941714,0.008465545665823724,1.463114281947745,0.8624324432251916,1.739198760055408
S. Maria della PietÃ ,159.7538565260355,1.7259478961585109,0.05727389933129648,1.6901883028822031,0.0009523684281345535,1.4101614693898203,0.32401123852268743,1.7161874391588814
Ottavia,146.77854934935183,1.5759855323586578,0.04853060992849009,1.5501414888193725,0.0008260657069717989,1.3090965958010827,0.29519875480961194,1.628873590221666
Pignatelli,33.47443363443017,1.0658941449373245,0.023045618549638353,1.0000000103898015,0.0008043432933416485,1.2218678890553192,0.10347414054697712,1.000000000264623
Verano,97.0074047807545,1.2429725858286111,0.05143236895034363,1.2922716324784411,0.0018749382907682817,1.306061930229498,0.24226146386165112,1.2722310733997906
Appia Antica Nord,303.6871743235865,1.604447226486625,0.1082989734928542,1.3900142945850877,0.00125622601780717,1.4301596953858131,0.5556174202612592,1.637153361963289
Farnesina,74.70994540687057,1.611099610607433,0.03876675648489494,1.4548169322122875,0.0008668530328085741,1.5557519451670263,0.1933795405741834,1.5311996635423724
Giustiniana,457.6453331675417,1.5735135122036845,0.10699727755628718,1.6052827103840777,0.0011198672115820816,1.439931758343797,0.7725076706302897,1.652014782218031
Boccea,737.0042317055659,1.27562701577079,0.26351300728972116,1.2181173366067553,0.00428046309137765,1.13896297453794,1.3214256976730034,1.2497213743308584
Primavalle,55.6982546301483,1.6453927584031875,0.04259019932048138,1.701311502632743,0.0020199083301919046,1.4511071878439368,0.17217565595693493,1.8070484562551958
Tor Cervara,290.0876064691279,1.3694698164814425,0.12883632354576516,1.3311375314180447,0.0030316070666024523,1.3216013283817083,0.6164407001778643,1.3491896038568374
Casetta Mistica,360.4212614136717,1.4391740867162743,0.11534658000712152,1.3196683815165802,0.001527880644405552,1.322281736608788,0.6044216538765785,1.2728500168256462
Lucrezia Romana,312.3678619553102,1.5018198741708813,0.11782015194834496,1.514471779495132,0.0016006970972185766,1.4880194184280864,0.584929570143899,1.516050476356502
Cecchignola,219.97250033494666,1.7046787363464502,0.06299405778206098,1.7407860741672019,0.0006670446827933611,1.5447958769434487,0.36767493971167986,1.7625581804246737
Vallerano Castel di Leva,324.99497317590556,1.6929785434873401,0.10029860940463325,1.7346139027399783,0.0010956366724204066,1.4919034599090288,0.5568948072405999,1.7731299441227653
Laurentino,289.1404361271502,1.469594582755954,0.09042126622484055,1.5299235450754924,0.0011588277884130899,1.4911964697033568,0.5529626042450301,1.5278201071117232
Mezzocammino,339.7044962477185,1.3878906143248462,0.12670544626810878,1.419436339821723,0.0014501443075315061,1.3433231204739466,0.5931362558955983,1.4991636578243108
Pantano di Grano,663.8212085232278,1.5100699258733052,0.24236653011160825,1.401386257221863,0.002937262162883705,1.4003323801058989,1.2001535481964576,1.491042406246899
Appia Antica Sud,751.3467668819744,1.155081892090733,0.2581527968763657,1.1838584430857155,0.00291951119440943,1.000000000002088,1.3334046504767412,1.1694813637275354
Della Vittoria,35.837894227216985,1.5620925504442962,0.031128878712619993,1.6367708051887637,0.0012144956285562055,1.4407522012347795,0.10743969003670921,1.72228171577535
Medaglie d' Oro,32.01247533941697,1.4806431364810408,0.0265720365786347,1.5588491531570159,0.0009816205881449979,1.4125958382313781,0.10794411992695725,1.4845482622800152
Prati,66.20668675991851,1.7089252245980426,0.05524238141976677,1.7246621335722234,0.0030345085624200914,1.421232275588184,0.17015184068307296,1.735429407216186
Buon Pastore,42.47094558797399,1.388426544240584,0.031391716032956846,1.3980333400300546,0.0009622520404544411,1.520231867490489,0.15055282680883206,1.3083332834625547
Trionfale,20.33938142047687,1.1764259430612385,0.021423946127073247,1.253494438437893,0.0004606373252564464,1.319546408530242,0.08957337330592219,1.2042638785183393
Foro Italico,96.08908131943559,1.3715748857426049,0.053069609190824776,1.3789927852009662,0.001213907406613639,1.311016110135398,0.2572898408353244,1.4011639306308874
S. Cornelia,821.1176386108324,1.3454730739084098,0.2052598623638772,1.4207591028846949,0.0012455093871244442,1.2573763500029154,1.2990280428943717,1.392018674570523
Serpentara,202.57319890896136,1.6503383852456894,0.09254223505878433,1.699702734511444,0.0007708712811088663,1.4361300436873623,0.3767104360841042,1.7134772976507322
Casal Boccone,298.5156657775895,1.4135235659123295,0.11655069077692833,1.4229617155306014,0.0010192905344559601,1.3889956821721618,0.5040669889134348,1.5318644083395418
S. Basilio,186.85085471463904,1.6806465762063496,0.06344669198057153,1.743537764959243,0.0006980868055255072,1.565209682253542,0.359957481745367,1.7868891955049164
Bufalotta,666.3806163651223,1.2567936229585523,0.21792940497647975,1.3188456734947556,0.0025269359376233983,1.2514002398258894,1.1246957465629563,1.288961068560743
Labaro,143.380527297791,1.5585896832504522,0.05236605965949598,1.4084265784803651,0.0009596477612081001,1.3995873740746685,0.2867710072041853,1.4490086687993915
Tomba di Nerone,36.47801143177139,1.3490476684897836,0.022609877895181183,1.2530265795463746,0.0004745020961444978,1.3991652097854201,0.1364296574453893,1.3245812069369243
Castelluccia,207.77014139596463,1.5869710792387328,0.07027443894322584,1.5646297099419346,0.001363045828904639,1.3516863093472498,0.40551617711653826,1.6831823847761522
Casalotti di Boccea,102.7803201344998,1.6505372708641775,0.042071715438940706,1.551738997296829,0.0009308057956966372,1.357750883271871,0.2534135688085992,1.5671484087467338
Torrino,149.448085329466,1.5991179021532416,0.06099698576369313,1.5821042060259145,0.0010681760609416637,1.4987913136307918,0.31928328999836797,1.6405200182815354
Val Cannuta,279.2063541928004,1.7299861842516633,0.2513471476267771,1.8075812335625105,0.003995638743586777,1.4111020895147974,1.553627835454338,1.8327226773940182
S. Alessandro,328.38283394556197,1.2911381781937818,0.15288102489736816,1.4060707698194177,0.0022960524248540133,1.3801366237100998,0.640620485498082,1.2325205000226884
