DEN_Z_URB,avg_CO_2_per_road,avg_NO_x_per_road,avg_PM_per_road,avg_VOC_per_road
Tiburtino Sud,171.69964855111718,0.0685356964869991,0.0006467618220163603,0.28301662328351235
La Rustica,335.1399785871415,0.09307184474855788,0.0009447534256839417,0.5869717490368203
Acqua Vergine,431.1102802126959,0.11930086731118021,0.0011969271523619214,0.7529276419146661
Settecamini,238.49882573787943,0.07165735980293322,0.0008692396624299085,0.43117496783157183
Lunghezza,91.69152718780983,0.034016793852887965,0.00038589954501062375,0.1795413193420189
S. Vittorino,567.756951606002,0.2228341965898494,0.0016080974399682235,0.9132592146035304
Centro Storico,15.549059868523376,0.014057049749644526,0.0003634932585646359,0.08065157017819725
Trieste,66.59053882054593,0.03244055769147895,0.0009010318083614204,0.162426913822696
S. Lorenzo,13.63460763576958,0.01231617026706873,0.00034126047712216276,0.07111494421389782
Nomentano,30.700961054803578,0.018919177444422734,0.0004152837619135921,0.1057666518717721
Casilino,18.094500037923194,0.014568505324157804,0.0007171752859803391,0.06740267694323465
Gordiani,10.915932421271618,0.01017062508777972,0.000277792095683124,0.049053056675163534
XX Settembre,17.698103558841872,0.014869448245707306,0.0005403337460825586,0.07766235129238339
UniversitÃ ,9.495519424993468,0.007474077365674413,0.00020800295163920875,0.040021390727570445
Torre Maura,205.59854148081791,0.06027616612663075,0.0005847655425287077,0.38122603555018963
Osteria del Curato,144.45315960805908,0.05235707327593944,0.0008511361351813487,0.311947749892071
Quarto Miglio,249.47251780829603,0.0853219426425627,0.0011961396185488202,0.44957377664170717
Ciampino,416.371852817504,0.2533634825116047,0.00207599807400221,0.8540308825851609
Tuscolano Nord,13.043001115911425,0.011038505830393086,0.0002379770259200455,0.06485240683524368
Esquilino,18.395175895642552,0.01645122578851368,0.0004686601818344633,0.09168674490817047
Villa Borghese,22.907575662008355,0.013937097356561675,0.0005946776247264196,0.06626071372416585
Casal Bruciato,178.4158888273587,0.06614496345334485,0.00094120510141623,0.37553838398902256
Aeropoprto dell' Urbe,332.36669060280644,0.11691046419832857,0.001403718959319328,0.6970648594391061
Fidene,118.95847600067734,0.048921021123830885,0.0007020030364637902,0.2570493474053576
Settebagni,182.9975630168779,0.06853637523081776,0.000910948250390536,0.37958840596329224
Grottarossa Ovest,232.7082890139162,0.06521277275204562,0.001118256474517204,0.4388971311131895
Villa Ada,179.40878519533496,0.07269306114906551,0.0014717365575192488,0.38859202779789676
Tor di Quinto,86.80270633544704,0.04147740903227541,0.0007690685615751102,0.20236044797864586
Casal Bertone,89.32590874044068,0.03786245633785889,0.0006018331459487298,0.24074581544231755
Romanina,154.91634885330612,0.0666685046086426,0.0011118358890282404,0.37962666960974906
Barcaccia,65.69307718298091,0.03147457991014575,0.0005185223154031938,0.15616053580181966
Pietralata,22.002220776119998,0.013273986232125676,0.00037071234769174083,0.07354787935430111
Grottarossa Est,225.9682756283548,0.08822093192363234,0.001277035167119963,0.45991415660488805
Prima Porta,543.0224886012298,0.17958012081071453,0.0011185021360518347,0.781187625007415
Tor S. Giovanni,609.8724183170673,0.22170446174228978,0.00255891388465634,1.0408785195227679
Eur,59.866444545290285,0.03411300492046401,0.0007722208948958821,0.18171742583474776
Tormarancia,22.701342747864885,0.014200223258984852,0.00028102871323504834,0.07212311533764551
Zona Archeologica,16.409075086140167,0.011764346896558767,0.00029838168762286144,0.06318416669163009
Tiburtino Nord,16.33854464478307,0.012004750486184695,0.0003004089953927956,0.06918428743212006
Centocelle,11.727339885523612,0.011708624587154406,0.0007433551632434408,0.057574301302151694
Alessandrina,12.992360238930047,0.010582905702920864,0.0002499557226315879,0.06249441393015646
Tor Tre Teste,16.80213545324902,0.012730373936392425,0.00029133597562736746,0.07703569993221511
Tor Sapienza,142.75945749426964,0.04461244086908778,0.0005466438763222505,0.24638209220088877
Omo,125.18810308670875,0.04052902357832042,0.0005954517788000357,0.2706102612228466
Casetta Mistica,317.384213008934,0.09545894266311569,0.001225314374293995,0.53946712158779
Lucrezia Romana,264.99472574737126,0.09081575943931895,0.0009736913161173832,0.5077633822651206
Appia Antica Sud,638.7371164004911,0.19082325960231286,0.0017327453297749209,1.1478091376940112
Conca d'Oro,13.54100609682207,0.012233450153900318,0.0002970335121252527,0.07229202791105903
